Date, Timestamp, Ticker, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, BuyQuantity, SellQuantity, TotalTradeCount, BuyTradeCount, SellTradeCount
20150616, 12:32:00.000, IBM, 166.29, 166.33, 166.25, 166.28, 465597.24, 2800, 0, 0, 34, 0, 0
20150616, 12:33:00.000, IBM, 166.28, 166.33, 166.26, 166.32, 599986.09, 3608, 0, 0, 41, 0, 0
20150616, 12:34:00.000, IBM, 166.28, 166.30, 166.26, 166.30, 708685.04, 4262, 0, 0, 44, 0, 0
20150616, 12:35:00.000, IBM, 166.30, 166.35, 166.30, 166.31, 361229.38, 2172, 0, 0, 16, 0, 0
20150616, 12:36:00.000, IBM, 166.34, 166.45, 166.33, 166.40, 1233445.92, 7414, 0, 0, 67, 0, 0
20150616, 12:37:00.000, IBM, 166.46, 166.46, 166.43, 166.45, 309920.64, 1862, 0, 0, 19, 0, 0
20150616, 12:38:00.000, IBM, 166.42, 166.45, 166.40, 166.43, 1018685.18, 6121, 0, 0, 48, 0, 0
20150616, 12:39:00.000, IBM, 166.46, 166.49, 166.43, 166.44, 512705.88, 3080, 0, 0, 33, 0, 0
20150616, 12:40:00.000, IBM, 166.43, 166.43, 166.40, 166.43, 201865.48, 1213, 0, 0, 16, 0, 0
20150616, 12:41:00.000, IBM, 166.38, 166.39, 166.34, 166.35, 317589.27, 1909, 0, 0, 25, 0, 0
20150616, 12:42:00.000, IBM, 166.32, 166.38, 166.30, 166.34, 690877.44, 4153, 0, 0, 45, 0, 0
20150616, 12:43:00.000, IBM, 166.29, 166.43, 166.29, 166.43, 1289153.91, 7750, 0, 0, 94, 0, 0
20150616, 12:44:00.000, IBM, 166.43, 166.49, 166.42, 166.45, 302783.55, 1819, 0, 0, 29, 0, 0
20150616, 12:45:00.000, IBM, 166.45, 166.49, 166.42, 166.48, 287133.25, 1725, 0, 0, 20, 0, 0
